품목별,값1,값2
옥외용 조명장치,389815,366776
옥탄올(2-EH),313843,263005
온도 자동조절장치(공업용 제외),260613,294866
온도계,21210,24355
온도자동제어장치,976916,516683
올리브유,178093,230710
올소자일렌,X,X
옵셋 잉크,293187,271705
와셔(금속제),115558,111353
와이어로프,710720,671773
왁스,84910,81532
외장형 DMB 튜너 (PC 장착용),X,X
외장형 DMB 튜너 (자동차 장착용),204964,217016
요소,X,50871
요소수지,63118,37841
요업용 도포제,100295,93896
욕조,22697,25363
용접강관,4163671,3367464
용접봉,882202,880818
용접용로봇,229536,284945
우드몰딩,62537,67242
우레탄 발포제품,1225190,1133422
우레탄도료,367169,387389
우레탄폼 샌드위치패널,52933,40618
우산류,13249,19756
우산류 및 지팡이 부품,X,X
우편물취급기기,8484,6865
운동복,1750838,1649840
운동용 공,5960,4385
운동용 장갑류,X,X
운동화,388971,394087
운송장비용 플라스틱제품,12235144,12189056
워딩(솜) 제품,408317,401737
원당,X,X
원두커피,400084,404201
원심분리기,160968,147281
원유(채굴한 것),X,X
원자로의 부품,27103,23824
원추형 롤러베어링,235674,287101
원피,X,X
웨이퍼 가공 장비,2558494,3986113
위생용지,316927,287836
위성방송 수신기,1304007,1271821
위성방송 수신용 안테나,200220,202830
위스키,X,211072
윈치 및 캡스턴,63577,71688
유기계면활성제,1445781,1472908
유기질비료,608852,578819
유리거울(차량용 제외),54975,55974
유리단섬유,157492,155128
유리섬유 제품(직물제외),332063,340523
유리섬유직물,91322,80365
유리장섬유,156557,159539
유부,67363,66571
유선 전화기 부품,X,4387
유선방송 송수신기,93674,105919
유성 페인트,1845622,2067341
유아 및 어린이용 목제가구,28224,23507
유아용 내의(편직결합),56476,61331
유아용 의복 및 부속품,913978,767226
유압 및 공기압전송용 밸브,1126631,1061241
유압 펌프,733738,708016
유압기기 부품,623202,576306
유압실린더 및 유압시스템,1590344,1759601
유연제,81100,84238
유자차,192657,198886
육류 도축고기 부산물,121711,143536
육류가공기계,124230,104019
육상 금속 구조물,5317040,5168591
육지동물 통조림 및 병조림,51342,38892
육지동물 포장육,5000074,4550823
윤활기유,5693759,5968830
윤활유(석유기저),2811698,2563868
율무차,40670,40336
은괴,1774938,1596740
음료 베이스,372885,297130
음료 제조업,12036174,11940953
음성자동응답기,X,X
음식료품 및담배 가공기계 부품,19786,24349
음향기기용 자기헤드,X,X
음향기기의 전용부품,119522,274768
"의료, 정밀, 광학 기기 및 시계 제조업",25844056,27804069
의료용 물질 및 의약품 제조업,21441408,19543756
의료용 방사선 장치,751183,685939
의류 건조기,1026413,X
의류 부분품,91919,82543
의복 및 직물제품의 날염,30311,36682
의복 및 직물제품의 염색,57676,39337
"의복, 의복 액세서리 및 모피제품 제조업",14191325,14403307
의약품 원료,2065138,1825236
의약품제제,16290942,14835146
이·미용실 의자,X,X
이동식 금속 사다리 및 부품,36812,30211
이불,479036,431371
이산화규소,X,X
이산화탄소,175797,169253
이앙기,136764,127168
이어폰,115799,98882
이염화에틸렌(EDC),532460,X
이온 정수기,30507,31557
이유식(우유기저 제외),123093,102324
이퀄라이저,X,X
인공골재,87936,79296
인공신체,59641,45334
인버터,726669,754232
인산,94508,104243
인산비료,X,X
인삼과자,199265,155091
인삼분말,46885,43539
인삼음료,459186,580683
인삼즙,289295,328371
인삼차,72637,174754
인쇄 및 기록매체 복제업,568429,533699
인쇄 및 제본관련 기계 부품,105939,103070
인쇄기계,241377,269869
인쇄용 박엽지,126735,146379
인쇄판,534961,504370
인스턴트 커피,612092,356779
인조대리석,939817,946020
인조모피,X,X
인조모피 제품,X,
인조섬유편조물,479329,429000
인터폰,51279,66156
인형 및 장난감 부품,11728,4881
일반 단추,62851,79220
일반 유리용기,664485,618235
일반 전화기,44882,X
일반 합판,295347,270978
일반철근,4362398,4545348
일차전지,370287,260166
일차전지 부품,23889,23356
임팩트 프린터(충격식),55053,62831
잉곳 및 웨이퍼(태양전지용),41735,150917
잉크리본,X,X
잉크젯 프린터,59186,78244
잎(판상)스프링,102638,123171
자기 및 광 디스크,7644,12242
자기헤드(컴퓨터용),X,X
자동 자수기,X,16247
자동거래단말기(ATM),421268,295412
자동전기제어반,2033890,1836600
자동조절 및 원격조절밸브,665491,598406
자동조절기(공업용 제외)의 부품,74469,74204
자동차 KD세트(개조 및 분해),2471251,4317237
자동차 구조 및 장치 변경,57018,56067
자동차 및 트레일러 제조업,192799402,186412008
자동차 엔진용 신품 부품,14888744,15153311
자동차 재제조 부품,464680,521091
자동차 차체,1340736,1351007
자동차 차체용 신품 부품,22635445,22210782
자동차 튜브,190898,170631
자동차용  신품 의자,4659951,4898797
자동차용 센서,1032701,814315
자동차용 신품 의자 부품,1868420,1488525
자동차용 신품 전기장치의 부품,1641502,2124674
자동차용 철물,1193921,1149436
자동차용 프레스 가공품,4303065,4534264
자동차용 화합물,476430,598683
자동차용음향증폭기,X,X
자동차운반선,90426,217937
자동차촉매,1635243,1673876
자동창고시스템,184698,306838
자동판매기 및 화폐교환기,68509,84532
자동판매기 및 화폐교환기 부품,11250,10320
"자물쇠, 열쇠 및 관련 부품(자동차용 제외)",49204,50616
자수제품 및 자수용재료,43525,35641
자일렌(Xylene),1858074,1630290
자전거,26125,18272
자전거 및 차량용 조명기구,2656615,3515900
자전거 타이어,X,X
자전관,16973,15522
장갑(편직결합),215242,243827
장롱,625927,776257
장부류,X,9269
장석(채굴),X,X
장식용 도자기,X,X
장식용 조명세트,18168,20757
장식용 트리밍,X,X
장식장,146123,93574
장의용 목관,12970,13633
장판지,X,X
재료시험기,254332,284392
재봉기 부품,15520,13899
재봉사,67790,64608
재생 윤활유 및 그리스,109360,147291
재생 타이어,59479,84466
재생가죽,X,X
재생고무,44780,43379
재생목재,115431,36427
재생섬유사,132472,111006
재생수지,922034,912769
재생유,525293,496571
재생장섬유토우,40151,43121
잼 및 젤리 통조림,175788,197813
쟁기,15645,8847
저밀도폴리에틸렌(LDPE),3834218,4387283
저압배전반(전압1000v 미만),1338918,1343273
저울 부품,X,
저장용 금속탱크,1961752,1652567
저항 용접기,100421,95777
저항기 부품,54975,42714
적층가공지(박지),555386,664101
전구 및 램프 부품,105994,62491
전기 난로,24123,36507
전기 면도기,X,X
전기 및 전자기기용 플라스틱제품,2586071,2604727
전기 안마기,233052,135254
전기 애자 및 절연용 물품,111877,115675
전기 이발기,5735,6665
전기 후라이팬,30928,41397
전기·전자식 진단 및 요법기기 부품,87685,112478
전기ㆍ전자 및 정밀기기 수리,940141,917467
전기경보 및 신호장치 부품,86521,79958
전기고압용 축전기(>=0.5KW),56876,58596
전기공급계기,268270,426307
전기다리미,X,
전기담요 및 장판,142776,118599
전기도금 및 전기분해용 기기,65746,60862
전기량측정 및 검사용기기의 부품,142863,43878
전기레인지,157426,144628
전기로,265125,276667
전기보일러,16378,15837
전기비데,277792,303586
전기식 간판,529939,491219
전기식 교통 통제장비,189726,221548
전기식 교통통제장비의 부품,X,X
전기식 헤어드라이어,47763,44732
전기온수기,78962,61968
전기용 도자기,192431,216304
전기장비 제조업,82516438,79224106
"전기회로 개폐, 보호 장치 부품",341282,370122
전기회로 접속장치 부품,237406,256095
"전동기, 발전기 및 발전기 세트의 부품",925676,929541
전동차,1046132,935303
전등용 소켓,35866,37814
전등용 유리,12439,12953
전력선(송배전용),3665206,4066284
전시 및 광고용 조명장치 부품,169145,95100
전압조정기,16149,23451
전용기,670058,588404
"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",250753678,269593274
전자 오븐,35782,72557
전자 커넥터(통신 및 전자기기회로용),1377174,1190050
전자계측기,450040,475962
전자기타,38226,37274
전자복사기용지(소매용),64182,61681
전자부품 실장기판,1776571,1941206
전자부품용 변성기,190617,183486
전자석 및 영구자석의 제품,80941,75797
전자수첩,X,X
전자식 모의훈련기기,60705,78512
전자악기 부품,13589,12631
전자유도 코일 및 쵸크,330347,322904
전자응용 가공 절삭기계의 부품,78897,104274
전자집적회로 부분품,1056537,968776
전자총,X,X
전자코일 및 인덕터의 부품,55134,52530
전자혈압계,5717,6310
전자회로용 가변식 축전기,46730,45051
전투용 차량,1273019,810071
전투용 차량부품,501167,503476
절단기,79378,79794
절삭가공,5835613,6127443
절연전선(옥내외 저압 배선용),1711645,1914713
절연코드 및 코드세트,1204124,1143655
점토기와,22345,19085
점토벽돌,167511,182857
점토타일,273743,324201
접착지,189805,188564
접착테이프,2945415,2657380
정류기,645100,633003
정미기,68012,62046
정보용지,739519,491437
정수기,853549,1139161
정제당,1090859,1098584
정제어유가공식품,30230,21050
정지형 변환기의 부품,130531,135046
정형외과용 기기,202585,191545
정형외과용 기기 및 보청기 부품,40965,26234
제 조 업(10~34),1491723515,1517922862
제강용선철,X,X
제동기,66334,39722
제분 부산물,X,33987
제빵용기계,77153,71338
제올라이트,44803,45251
제재부산물,54771,43383
제철소 부산물,383051,X
제트유,16308183,16999680
젤라틴,166150,124347
조개통조림,X,
조립식 건축자재(콘크리트제),301911,279515
조립식장난감,100324,135509
조립용로봇,604885,674499
조명장치 부분품,182245,109930
조미오징어,289967,299937
조미쥐치포,32058,35175
조제계면활성제,283442,317168
조제분유(우유기저),333707,305346
조제수프,67049,100967
조제윤활제,204020,171077
조타기,16691,10542
조화 및 모조 장식품,17794,56070
종이 가방,191371,178232
종이 기저귀,643895,776405
종이 라벨,659496,601413
종이 및 플라스틱 고정축전기,17114,27887
종이 생리대,366874,210374
종이 타월,666897,635535
종이 포대,251990,229794
종이벽지,277307,390148
종이제조 기계(초지기),39776,45738
주기판,41310,47881
주문형 목제가구,144522,164490
주물용선철,104026,167881
주물주조기계,196044,213096
주방용 또는 식탁용 목제품,24728,29345
주방용 전기기기 부품,405160,535410
주방용 합성세제,317337,330328
주사기 및 수혈세트,467424,477724
"주석 압연,압출 및 연신제품",52177,43227
주석괴,10052,18551
주석도금강판,704398,841572
주정,490870,413210
주차기,291846,268997
주철관(주조한 것),375865,429667
주철제 관연결구류,182306,154282
주파수 공용통신 단말기,57996,46716
주화,203945,228975
중궤조,X,X
중대형 교류전동기,249205,507211
중대형 직류 및 교류겸용 전동기,1340354,500921
중대형 컴퓨터,348626,260313
중앙통제실 송신용 칩입 및 화재경보 시스템 제조,77223,71107
중유(벙커B유),412664,357144
중질지,244872,198518
중형냉장고(201ℓ ~ 400ℓ 이하),X,450263
중형버스,330404,X
중형승용차,6067991,4579178
중형트럭,X,X
"중후판(두께 3mm이상, 스테인리스제 제외)",7120238,6662533
증류기 및 가스발생기,143712,109649
증류기 및 열교환기의 부품,215325,238591
지갑,110278,207663
지관(판지 및 골판지 이외),278642,307141
지구베어링,163304,209467
지상파방송 송수신기,X,X
지팡이,X,X
지퍼,144124,172004
지폐용지,X,X
직기,10854,10993
직물 염색,1147431,1139931
직물벽지,154629,79776
직물슬리퍼,X,X
직물원단 날염,270498,303907
직물제 필터,175714,154257
직물포대,195823,202307
직접염료,41678,42877
진공 및 열성형기,65523,94204
진공 펌프,744933,1190773
진공형광관,X,X
진단용 시약(의료용),503030,400008
질산,139783,145879
질소(Nitrogen),1347326,1163750
집진기,398225,348947
차량 에어컨용 압축기,1155763,825395
차량용 가솔린엔진,1401654,2064234
차량용 거울,637998,646711
차량용 공기청정기,106211,84698
차량용 납(연)축전지,6735206,6112364
차량용 도난 및 화재 경보기,24679,27173
차량용 디젤엔진,1544270,1339097
차량용 안전유리,741926,693749
차량용 에어컨,2378995,2714038
차량용 오디오,409340,640906
차량용 조명 및 전기장치의 부품,1294037,660542
차량의자 카바,1134255,1253482
"차축, 차륜 및 부품",42750,22553
착색 가공석제품(건설용),33342,21846
착화탄,11667,13433
찬장,108897,72231
참기름,173174,195817
참치통조림,479884,458468
채소 통조림,22739,12041
채소음료,40614,48583
채소주스,41121,62380
채종유(유채유),22793,25517
천막 및 덮개(직물),442267,420987
천연 자갈,66966,60156
천연 접착제,203023,203509
천연가스(채굴한 것),X,X
천연모피 의복,164780,189369
천연모피(유연처리 또는 완성가공한 것),X,X
천연색소,X,X
천일염(채취한 것),22958,20063
철강 절단품(구입한 강재 절단),7501113,7933171
철광(채굴 및 정광),X,X
"철도, 궤도의 유지·보수용 차량",X,X
철도선로장치물,301453,189431
철도차량 개조 및 재생,15083,X
철도차량용 의자,9956,20831
철망,661147,657732
철분(철분쇄물),185123,176271
철제수문,93287,92357
청소용 비 및 솔,149421,146310
청소용 포(직물),118017,129858
청주,X,X
체인(동력전달용 제외),49727,50271
체인(동력전달용),181589,172100
"체조,육상 및 체력단련용 장비",255096,228627
체크 밸브,240935,240721
초산,180841,300535
초산비닐,X,X
초산에틸,X,X
초음파 기기,44366,102797
초음파 세척기,55428,56432
초음파진단기,958566,1107883
초콜릿류,768661,767759
축전기 부품,194423,189088
축전지 부품,3048418,2347818
춘장,36090,18512
충전기(포장겸용),256795,225333
측량기 및 항해용 무선기기의 부품,46255,29570
측량기기,419125,150812
치과 및 치과기공소용 기기의 부품,26056,21651
치과기공소용 기기,33935,27216
치과기공소의 제품,379036,316022
치과용 기기,249149,181167
치과용 의자,66930,64027
치과용 임플란트,630813,583343
치약,217358,407502
치즈,753251,672504
"치커리차, 보리차 및 옥수수차",201840,205642
친환경차,8342755,5046055
침구용 카바,135625,162885
칩마운터,477277,616803
칩상 또는 삭편상의 목재,116356,92147
칩형 고정저항기,14530,91950
칫솔,168493,162767
카레,78934,51108
카본부러쉬,75974,71944
카본블랙,827829,933032
카페트,103716,89241
카프로락탐(CPLM),X,X
칼 및 칼날(식탁용 나이프 제외),64314,60576
칼라강판,2241046,2881524
캐스터(소형바퀴),83797,78312
캔디류,374600,362369
캠코더,X,X
커넥터(일반전기접속용),2372215,2410247
커버링사,129528,145539
커튼 및 블라인드 부품,12604,11155
커튼 및 유사제품,416235,433855
커피 음료,880616,1009939
커피 크리머,131748,132261
커피믹스,602040,358809
컨베이어,2356334,2303289
컨베이장치류 부품,169467,152361
컨테이너(화물운송용),57791,56125
컨테이너선(철강제),4832514,4361355
컬러TV용 음극선관,X,X
컴퓨터 단말기,37833,31897
컴퓨터 케이스,32000,28786
컴퓨터 프린터 부품,84578,35641
컴퓨터용 모뎀카드(PC용),X,X
컴퓨터용지,115297,134667
컴퓨터주변기기 전용부품(기억장치부품제외),260308,260746
케이블TV 수신자용 기기,35863,67333
케이블TV 수신자용 컨버터,13416,21651
케이스(가죽 및 섬유제),146434,206902
케이크(제조도매),800707,822174
케찹,95941,83640
코드없는 전화기세트,X,9638
코일스프링,768189,740166
코코아 분말,17315,50313
"코크스, 연탄 및 석유정제품 제조업",113581814,119440834
콘센트,212485,197474
콘크리트 기와,12334,8015
콘크리트 벽돌,96587,103418
콘크리트 벽면,219718,223496
콘크리트 블록,697811,653732
콘크리트 전주,167478,160268
콘크리트 타일,66638,85629
콘크리트 파일,537708,625409
콘크리트 펌프카,225362,261236
콘크리트경화제,505152,549973
콘크리트믹서,68684,70538
콘크리트제품 제조기,39871,34805
콘택트렌즈,310712,293786
콜라,706510,630299
콜롱,X,X
콜크 및 콜크제품,X,X
콜타르(조상의 것),105044,182386
콜타르피치,220032,179671
콤바인(농업용),156031,125228
콩가루,4620,2417
콩기름(대두유),697238,675539
크라프트지,188703,198098
크레용 및 파스텔,13639,10723
크롬도금강판,80748,72690
크림,2526039,2126246
키보드,57814,62389
키폰세트 및 시스템,X,
타월(직물),179067,184767
타이어 및 튜브 부속품,112934,123512
타이어보강 강선,390385,479029
타이어코드 및 타이어직물,413177,338771
탁주,313286,318732
탄산칼륨,X,X
탄산칼슘,264155,292721
탄소 가변저항기,X,X
탄소섬유,264139,133861
탄소전극 및 흑연전극,229579,195038
탄소피막형 고정저항기,46560,40530
탄탈륨 축전기,X,X
"탈지면, 거즈, 붕대 및 유사제품",320490,276846
태블릿PC,710435,660292
태양광모듈,2444795,2517094
태양광발전시스템,359435,235548
태양광웨이퍼,X,X
태양전지,498526,397080
태양전지 제조장비,46123,53489
태양전지용 유리,4228,4208
"탭, 밸브의 부품",596108,600228
탭핑기,X,15993
탱커(철강제),4516656,5659006
터빈,87807,116100
터빈 부품,119527,105803
터치스크린 패널,341258,1151448
텅스텐(중석) 압연 및 압출 제품,187657,235526
텅스텐분말,X,X
테레프탈산(TPA),3716894,3851406
텐트,42167,36343
텔레매틱스 단말기,X,X
텔레비전의 부품,323899,262415
토공기계,118265,131342
토기제품,5697,X
토너 및 토너카트리지,43922,62409
톨루엔,889108,995411
톨루엔 디이소시아네이트(TDI),862351,1270933
톱(수동식),57566,47124
톱기계(금속용),20254,22127
톱날,121442,108906
톳,30420,30116
통신 및 컴퓨터용 전원장치,289525,224129
통신선,961422,721097
투명전도막 코팅유리,92007,98023
투영기,7897,7699
트랜지스터,569225,281910
트레일러,138382,146419
트레일러 부품,26997,22817
특수강 단조물,1071204,943057
특수강 주물(합금강주물),411301,426435
특수목적용 변압기,171527,87934
특수목적용 자동차,648241,1124093
특수선박(상업 및 군사용 제외),2876118,2197976
파라자일렌(P-X),13108856,15697622
파라핀,147810,100093
파우다,163036,172421
파일직물,228808,251566
파티클보드(PB),340919,181482
판금제품,3147137,3329673
판유리,567631,703118
판유리제조기,18629,20839
판재,110708,108316
판지상자 및 용기,674043,692249
패키지에어컨,953740,1155990
팩시밀리,X,X
팬코일유니트,96953,89143
펀칭기,16206,20894
펄프 및 종이제조 기계 부품,37171,38650
"펄프, 종이 및 종이제품 제조업",23064420,23225149
펄프제조기계,23806,18877
페놀,401885,453425
페놀동박적층판,566142,617634
페놀수지,179868,173014
페놀인쇄회로기판,1260673,903685
페라이트 코아(철심),113738,106702
페인트용 롤러 및 붓,X,X
펠트,208165,181436
편광재료용 판,X,
편물사,97680,88189
편조제품(의복 및 의복액세서리 제외),X,X
편직기,51061,51345
편향코일,X,X
평판디스플레이 제조용 기계,5636262,7244328
평판디스플레이 제조용기계 부품,455039,752429
폐쇄회로 카메라,2234106,1889889
포도당,67605,44400
"포도주, 샴페인",26329,15679
포르말린,X,X
포장기,594771,568268
포장기 및 용기세척기 부품,38542,49217
포장석,X,X
포장지,380914,369549
포크리프트 트럭(지게차),1264958,1377275
포토마스크(Photomask),690417,629301
폭죽 및 조명탄,22074,32153
폴리스티렌 발포제품,2562737,2756177
폴리스티렌(PS),1628435,2010035
폴리스티렌(PS)필름,64371,85779
폴리실리콘,853365,959456
폴리아미드섬유,1088323,1074725
폴리에스터(PET)필름,2253514,2242242
폴리에스터섬유,1770871,2421571
폴리에틸렌(PE)필름,2025344,1751004
폴리에틸렌테레프탈레이트(PET),649639,722988
폴리염화비닐(PVC)필름,766216,718632
폴리우레탄,751933,872398
폴리테트라 메틸렌 에테르 글리콜(PTMEG),X,X
폴리프로필렌(PP),8358268,8827918
폴리프로필렌(PP)필름,867247,811711
폴리프로필렌글리콜(PPG),1206113,1167172
표구 부속품,34389,33189
표구 제품,17193,13596
표권 발행기,47261,38139
표면처리 및 방부처리목재,237040,229674
표시기,206556,275800
퓨즈,60308,41222
프라스틱 및 고무제 운동화,24528,X
프레스용 금형,3908001,3761670
프로그램 콘트롤러,629900,647243
프로판가스,1223593,1295183
프로필렌,5133039,5450970
프로필렌글리콜(PG),X,X
플라스터,29103,31434
플라스틱 뚜껑,676421,732123
플라스틱 및 고무 슬리퍼,49829,50949
플라스틱 및 고무제 운동화부분품,105677,126364
플라스틱 및 기타 소재의 가구 부품,92316,88508
플라스틱 병,1959148,1753800
플라스틱 봉투,1837560,1764927
플라스틱 사무 및 문구용품,117707,106825
플라스틱 사출성형기,1003297,987337
플라스틱 샤시바,641615,650454
플라스틱 시트 및 판(포장용 제외),650182,661516
플라스틱 시트 및 판(포장용),1232153,1235392
플라스틱 압출성형기,166815,148483
플라스틱 연결구류,409173,508691
플라스틱 자석,17662,13687
플라스틱 적층품,1516884,1788789
플라스틱 주방용품,835907,864901
플라스틱 창문 및 문,1497072,1674538
플라스틱 타일,1082775,912993
플라스틱 파이프,1171886,1106272
플라스틱 프로파일,328939,300589
플라스틱 헬멧,107130,113575
플라스틱 호스,292158,332181
플라스틱벽지,44573,77468
플라스틱용 금형,3190828,2886106
플라스틱장판,460250,495651
플라스틱제 가구,247017,258808
플라스틱착색제(마스터배치),491828,555549
플라스틱필름(포장용 제외),1307910,1310481
플라스틱필름(포장용),1269712,1368928
플러그(전기접속용),93814,104240
플레인베어링,212450,224362
피임용 기구(고무제),X,X
피자(제조도매),12736,15095
픽업,X,X
필기구의 부품,9070,X
필기용 잉크,25681,38190
하드디스크 드라이브,42277,40671
하이브리드 집적회로,47724,72800
학교 및 공공장소용 가구,145091,140180
학생용 가방,9850,16663
학생용 교복,214702,210550
한복,11139,14863
한의약품,509801,472052
할로겐 전구,58272,54779
합금철(페로얼로이),2263027,2282638
합성수지 접착제,1725647,1836341
합성수지선 수리,7051,3080
합성장섬유토우,X,
합성피혁,773314,833310
항공기 개조 및 재생,286094,X
항공기 부품 수리,126334,98145
항공기엔진 부품,990365,965170
항공기용 엔진,X,X
항공기용 의자,4254,13983
항온항습기,410390,404773
핵연료,X,X
핸드백,991367,757413
핸드폰케이스,728560,612224
핸즈프리,X,X
햄(가축),819591,756168
햄머,X,13099
향수,23197,40357
향수 및 화장품용 스프레이,X,X
허브 및 네트웍관련 스위치,22387,54659
헤드폰,55981,115337
헤어스프레이 및 무스,6483,8349
현금자동지급기(CD),94575,94850
형강(보통강),2447259,1304542
형강(특수강),1760531,1750094
형광등(램프),70493,54294
형광등용 안정기,122506,147475
형광등용 안정기의 부품,12050,12301
형광염료,44413,45131
호이스트,211358,215840
혼방견직물,24503,17306
혼방면직물,250803,233332
혼방방모사,64806,61910
혼방방모직물,17942,25499
혼방소모사,23167,30231
혼방소모직물,57326,61917
혼방합성섬유사,339077,412586
혼방합성섬유직물,995290,1184470
혼합 조미료,1149116,1470043
혼합부탄,208324,205599
혼합장,34097,27103
홈네트워크 장비,47530,77322
홍삼,306928,393551
홍차,20350,30425
화강암 원석(파쇄되지 않은 것),158177,99570
화물용 기차,X,X
화약 및 폭약,360602,516505
화운데이션,771377,1007299
화이트카본,X,X
화장 비누,261817,280614
화장대,34863,41821
화장수,620502,724790
화장용품,153691,139490
화장지,1204661,1263019
화학 물질 및 화학제품 제조업; 의약품 제외,161874422,172435217
화학 살균제(농업용),400032,364532
화학 살충제(농업용),517849,531807
화학 생장조절제,21129,25571
화학 제초제(농업용),214443,268247
화학제품 제조기계,259551,239167
화학펄프,X,X
환자감시장치,20574,13424
환자용 차량,34251,28835
환자용 차량 부품,X,X
활석분,122160,112264
활성탄,90607,75493
황,262545,230943
황산,357389,263797
황산마그네슘,X,24709
황산알루미늄,89902,73439
황산암모늄,X,X
황산칼륨(황산카리),X,
회전위상변환기,95160,107914
회주물(보통주철),2546602,2643640
효모,34044,36820
효소식품,348530,254408
후추가루,54942,49636
휘발유,15812517,17916684
휴대용 시계,30656,28116
휴대용 연료,X,X
휴대용 저장장치,62496,99166
휴대용 전등기구,16233,15118
휴대용 전화기,16586774,17861039
휴대용전화기 KD세트,X,2123799
휴대폰용 카메라모듈,6754134,5599671
흄관 및 VR관,176933,249342
흑연 및 탄소제품(비전기용),116632,101854
희소가스,X,X
